,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
0,2022/06/01 10:16:46.000,147,13170.0,13190.0,12850.0,13050.0,1000918.0,305756.0,695162.0,147,12959669270.0,1000000,0.38904885315280574
1,2022/06/01 10:29:04.000,202,13050.0,13390.0,12990.0,13100.0,1055338.0,828068.0,227270.0,55,13901989620.0,1000000,0.5692943872010673
2,2022/06/01 11:01:24.000,249,13100.0,13180.0,13060.0,13080.0,1027222.0,351060.0,676162.0,47,13453713750.0,1000000,0.3164866017277667
3,2022/06/01 11:40:30.000,319,13080.0,13170.0,13060.0,13070.0,1023590.0,434663.0,588927.0,70,13404875100.0,1000000,0.15070877988257017
4,2022/06/01 12:16:38.000,419,13080.0,13140.0,13000.0,13020.0,1005570.0,438756.0,566814.0,100,13128483000.0,1000000,0.12734866791968735
5,2022/06/01 12:28:51.000,466,13020.0,13180.0,13010.0,13050.0,1028005.0,765399.0,262606.0,47,13473511170.0,1000000,0.48909587015627354
6,2022/06/06 09:15:55.000,540,13050.0,13200.0,12800.0,12800.0,1037637.0,130935.0,906702.0,74,13323531940.0,1000000,0.7476285059225914
7,2022/06/06 09:31:45.000,608,12800.0,12890.0,12730.0,12740.0,1001295.0,263419.0,737876.0,68,12808825120.0,1000000,0.4738433728321823
8,2022/06/06 09:48:12.000,709,12740.0,12750.0,12220.0,12400.0,1005005.0,142176.0,862829.0,101,12586868560.0,1000000,0.7170640942084865
9,2022/06/06 10:33:00.000,847,12400.0,12500.0,12320.0,12350.0,1025971.0,339389.0,686582.0,138,12723048130.0,1000000,0.338404301875979
10,2022/06/06 11:03:40.000,935,12320.0,12580.0,12260.0,12380.0,1028954.0,656259.0,372695.0,88,12759808110.0,1000000,0.27558472001663825
11,2022/06/06 12:21:21.000,1080,12370.0,12510.0,12330.0,12370.0,1007809.0,267644.0,740165.0,145,12480939790.0,1000000,0.46885967479949076
12,2022/06/07 09:09:03.000,1167,12370.0,12770.0,12300.0,12470.0,1031267.0,588700.0,442567.0,87,12798570650.0,1000000,0.14170239133027626
13,2022/06/07 09:32:17.000,1253,12480.0,12550.0,12400.0,12540.0,1000579.0,765748.0,234831.0,86,12499987500.0,1000000,0.5306097769391522
14,2022/06/07 10:06:41.000,1322,12480.0,12640.0,12480.0,12630.0,1080552.0,807886.0,272666.0,69,13611464430.0,1000000,0.49532091005338014
15,2022/06/07 10:16:30.000,1372,12640.0,12700.0,12630.0,12680.0,1007961.0,451443.0,556518.0,50,12781134350.0,1000000,0.10424510472131363
16,2022/06/07 10:34:12.000,1421,12680.0,12690.0,12600.0,12600.0,1003091.0,109226.0,893865.0,49,12714214040.0,1000000,0.7822211544117134
